"Story","Title","Result","Date","Stability","Duration (s)"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T19:40:25.07Z[Etc/UTC]","0.0","2.04"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T19:40:32.304Z[Etc/UTC]","0.0","3.07"
"Multi-actor scenarios","Todo List App supports multiple actors using separate browsers","SUCCESS","2023-07-01T19:40:43.095Z[Etc/UTC]","0.0","4.9"
